prior	business	0.22942643391521197
prior	entertainment	0.17356608478802993
prior	politics	0.18753117206982545
prior	sports	0.22942643391521197
prior	tech	0.1800498753117207
Likelihood	tech	cable	0.582089552238806
Likelihood	tech	satellite	0.975
Likelihood	business	telecoms	0.6833333333333333
Likelihood	business	companies	0.5042735042735043
Likelihood	tech	broadband	0.9533898305084746
Likelihood	tech	service	0.6021505376344086
Likelihood	tech	providers	0.8666666666666667
Likelihood	sport	front	0.4166666666666667
Likelihood	tech	rooms	0.6666666666666666
Likelihood	tech	portable	1.0
Likelihood	tech	devices.	1.0
Likelihood	tech	most	0.3521545319465082
Likelihood	tech	talked-about	1.0
Likelihood	tech	ces	1.0
Likelihood	business	has	0.2532351628737171
Likelihood	politics	been	0.236
Likelihood	tech	personal	0.40825688073394495
Likelihood	tech	(dvr	1.0
Likelihood	tech	pvr).	1.0
Likelihood	tech	set-top	0.9444444444444444
Likelihood	tech	boxes	0.9047619047619048
Likelihood	tech	like	0.3877005347593583
Likelihood	sport	s	0.24295860886602988
Likelihood	tech	tivo	1.0
Likelihood	politics	uk	0.3163265306122449
Likelihood	tech	sky+	1.0
Likelihood	tech	system	0.5902140672782875
Likelihood	politics	allow	0.3684210526315789
Likelihood	entertainment	record	0.28313253012048195
Likelihood	tech	store	0.746031746031746
Likelihood	sport	play	0.5160599571734475
Likelihood	tech	pause	0.5333333333333333
Likelihood	sport	forward	0.4645161290322581
Likelihood	politics	wind	0.3
Likelihood	sport	when	0.3148301574150787
Likelihood	tech	they	0.3177330895795247
Likelihood	tech	want.	0.7777777777777778
Likelihood	tech	essentially	0.7777777777777778
Likelihood	tech	technology	0.9174528301886793
Likelihood	tech	allows	0.7142857142857143
Likelihood	tech	for	0.2322717093804429
Likelihood	tech	much	0.32452830188679244
Likelihood	tech	more	0.3964007782101167
Likelihood	tech	personalised	0.5
Likelihood	tech	tv.	0.75
Likelihood	tech	are	0.35244433068850783
Likelihood	tech	also	0.24757529351710056
Likelihood	tech	being	0.3017964071856287
Likelihood	tech	built-in	0.8666666666666667
Likelihood	sport	sets	0.36585365853658536
Likelihood	tech	big	0.24930747922437674
Likelihood	business	business	0.5592105263157895
Likelihood	business	japan	0.5153374233128835
Likelihood	sport	but	0.3249873545776429
Likelihood	business	slower	0.48148148148148145
Likelihood	sport	take	0.2692889561270802
Likelihood	sport	off	0.32098765432098764
Likelihood	tech	europe	0.3583617747440273
Likelihood	tech	because	0.2968536251709986
Likelihood	tech	lack	0.28378378378378377
Likelihood	entertainment	programming.	0.6
Likelihood	politics	not	0.3075933075933076
Likelihood	tech	only	0.2611764705882353
Likelihood	tech	can	0.45841784989858014
Likelihood	tech	adverts	0.6818181818181818
Likelihood	politics	forget	0.3333333333333333
Likelihood	tech	about	0.3052503052503053
Likelihood	politics	abiding	0.5
Likelihood	tech	by	0.2490860346088228
Likelihood	tech	network	0.6709677419354839
Likelihood	entertainment	channel	0.6417910447761194
Likelihood	tech	schedules	0.5
Likelihood	tech	putting	0.42424242424242425
Likelihood	tech	together	0.3790322580645161
Likelihood	tech	their	0.2815985130111524
Likelihood	tech	own	0.35218508997429304
Likelihood	tech	a-la-carte	1.0
Likelihood	tech	entertainment.	0.625
Likelihood	tech	some	0.3194029850746269
Likelihood	politics	worried	0.4166666666666667
Likelihood	politics	what	0.30533596837944665
Likelihood	tech	it	0.2839309043402526
Likelihood	tech	means	0.4696969696969697
Likelihood	tech	them	0.3547008547008547
Likelihood	tech	terms	0.39
Likelihood	tech	advertising	0.3953488372093023
Likelihood	business	revenues	0.7872340425531915
Likelihood	tech	as	0.281816148512637
Likelihood	sport	well	0.268760907504363
Likelihood	business	brand	0.4782608695652174
Likelihood	tech	identity	0.46153846153846156
Likelihood	tech	viewer	0.6153846153846154
Likelihood	tech	loyalty	0.75
Likelihood	tech	channels.	0.8571428571428571
Likelihood	tech	although	0.3448275862068966
Likelihood	entertainment	leads	0.34375
Likelihood	tech	this	0.2637147335423197
Likelihood	sport	moment	0.2978723404255319
Likelihood	tech	a	0.23720394936095462
Likelihood	politics	concern	0.4935064935064935
Likelihood	business	raised	0.3780487804878049
Likelihood	politics	particularly	0.31896551724137934
Likelihood	tech	growing	0.49612403100775193
Likelihood	tech	uptake	1.0
Likelihood	tech	services	0.5623100303951368
Likelihood	tech	sky+.	1.0
Likelihood	tech	happens	0.3170731707317073
Likelihood	sport	here	0.31952662721893493
Likelihood	politics	today	0.4601226993865031
Likelihood	sport	we	0.3489061920652577
Likelihood	tech	see	0.2648305084745763
Likelihood	politics	nine	0.2808988764044944
Likelihood	business	months	0.36036036036036034
Likelihood	sport	time	0.2800453514739229
Likelihood	tech	adam	0.34615384615384615
Likelihood	tech	hume	1.0
Likelihood	politics	bbc	0.3445635528330781
Likelihood	tech	broadcast	0.5
Likelihood	tech	futurologist	1.0
Likelihood	politics	told	0.3870967741935484
Likelihood	tech	news	0.371007371007371
Likelihood	tech	website.	0.6756756756756757
Likelihood	sport	likes	0.5428571428571428
Likelihood	politics	there	0.31349693251533745
Likelihood	politics	no	0.3175355450236967
Likelihood	politics	issues	0.5094339622641509
Likelihood	sport	lost	0.3463035019455253
Likelihood	business	revenue	0.49056603773584906
Likelihood	tech	yet.	0.26666666666666666
Likelihood	business	pressing	0.4
Likelihood	politics	issue	0.6275510204081632
Likelihood	tech	commercial	0.3684210526315789
Likelihood	tech	broadcasters	0.4166666666666667
Likelihood	tech	important	0.3133047210300429
Likelihood	tech	everyone.	0.38461538461538464
Likelihood	tech	talking	0.3170731707317073
Likelihood	business	brands	0.55
Likelihood	tech	rather	0.34951456310679613
Likelihood	tech	than	0.3342676944639103
Likelihood	politics	said	0.29351386765669363
Likelihood	sport	tim	0.3142857142857143
Likelihood	tech	hanlon	1.0
Likelihood	business	from	0.24231754161331626
Likelihood	tech	communications	0.3888888888888889
Likelihood	business	firm	0.5965583173996176
Likelihood	tech	starcom	1.0
Likelihood	tech	mediavest.	1.0
Likelihood	tech	reality	0.34782608695652173
Likelihood	tech	connections	0.8936170212765957
Likelihood	sport	anybody	0.38095238095238093
Likelihood	entertainment	producer	0.6666666666666666
Likelihood	tech	content.	0.8947368421052632
Likelihood	politics	he	0.3705357142857143
Likelihood	sport	added:	0.43783783783783786
Likelihood	sport	challenge	0.3404255319148936
Likelihood	tech	now	0.262615859938208
Likelihood	tech	hard	0.40585774058577406
Likelihood	tech	promote	0.3225806451612903
Likelihood	politics	programme	0.34074074074074073
Likelihood	tech	so	0.3236870310825295
Likelihood	politics	choice.	0.5
Likelihood	tech	stacey	1.0
Likelihood	tech	jolna	1.0
Likelihood	politics	senior	0.4253731343283582
Likelihood	tech	vice	0.5918367346938775
Likelihood	business	president	0.5474452554744526
Likelihood	entertainment	guide	0.4117647058823529
Likelihood	business	group	0.4099526066350711
Likelihood	tech	find	0.46396396396396394
Likelihood	politics	want	0.2925311203319502
Likelihood	tech	simplified	1.0
Likelihood	entertainment	viewers.	0.8
Likelihood	tech	or	0.41474966170500677
Likelihood	tech	channels	0.56
Likelihood	tech	could	0.3104956268221574
Likelihood	tech	leaf	1.0
Likelihood	sport	out	0.28766140602582496
Likelihood	tech	google	0.9010989010989011
Likelihood	entertainment	book	0.5531914893617021
Likelihood	tech	search	0.8724489795918368
Likelihood	tech	engine	0.8095238095238095
Likelihood	tech	instead	0.3597122302158273
Likelihood	tech	scheduler	1.0
Likelihood	tech	help	0.3787465940054496
Likelihood	tech	watch.	0.5
Likelihood	tech	kind	0.4230769230769231
Likelihood	tech	model	0.543859649122807
Likelihood	tech	might	0.3691588785046729
Likelihood	tech	work	0.3199195171026157
Likelihood	tech	younger	0.3
Likelihood	tech	ipod	0.9833333333333333
Likelihood	tech	generation	0.7676767676767676
Likelihood	tech	used	0.5740740740740741
Likelihood	entertainment	taking	0.22093023255813954
Likelihood	tech	control	0.4484304932735426
Likelihood	tech	gadgets	1.0
Likelihood	politics	on	0.24840196224171252
Likelihood	tech	them.	0.3546099290780142
Likelihood	tech	suit	0.46153846153846156
Likelihood	tech	everyone	0.30275229357798167
Likelihood	tech	recognised.	1.0
Likelihood	politics	older	0.4727272727272727
Likelihood	tech	generations	0.5
Likelihood	sport	comfortable	0.6
Likelihood	tech	familiar	0.7916666666666666
Likelihood	sport	know	0.35962145110410093
Likelihood	tech	getting.	0.75
Likelihood	tech	perhaps	0.4
Likelihood	tech	do	0.3001215066828676
Likelihood	politics	choice	0.5
Likelihood	sport	put	0.26588235294117646
Likelihood	politics	mr	0.5515196441808747
Likelihood	entertainment	suggested.	0.4
Likelihood	tech	end	0.2644230769230769
Likelihood	tech	you	0.37678975131876413
Likelihood	sport	have	0.2388758782201405
Likelihood	sport	kids	0.30434782608695654
Likelihood	sport	just	0.2932242990654206
Likelihood	tech	diapers	1.0
Likelihood	politics	who	0.2582503928758512
Likelihood	business	pushing	0.35294117647058826
Likelihood	tech	buttons	1.0
Likelihood	tech	already	0.3069544364508393
Likelihood	business	-	0.2464123206160308
Likelihood	tech	everything	0.32075471698113206
Likelihood	politics	possible	0.2839506172839506
Likelihood	tech	available	0.6071428571428571
Likelihood	tech	hanlon.	1.0
Likelihood	tech	ultimately	0.4375
Likelihood	tech	tell	0.3709677419354839
Likelihood	business	market	0.6027131782945736
Likelihood	entertainment	50	0.4528301886792453
Likelihood	business	000	0.32
Likelihood	tech	showcased	0.6666666666666666
Likelihood	tech	many	0.41948579161028415
Likelihood	tech	enhancing	0.6666666666666666
Likelihood	tech	tv-watching	1.0
Likelihood	tech	experience.	0.5789473684210527
Likelihood	tech	everywhere	0.75
Likelihood	tech	models	0.6382978723404256
Likelihood	tech	lcd	1.0
Likelihood	tech	(liquid	1.0
Likelihood	tech	crystal	0.7333333333333333
Likelihood	tech	display)	1.0
Likelihood	tech	launched	0.49230769230769234
Likelihood	tech	dvr	1.0
Likelihood	tech	capability	0.6842105263157895
Likelihood	business	built	0.37681159420289856
Likelihood	tech	external	0.5789473684210527
Likelihood	tech	boxes.	0.8
Likelihood	tech	such	0.42930591259640105
Likelihood	politics	example	0.34408602150537637
Likelihood	tech	humax	1.0
Likelihood	tech	26-inch	1.0
Likelihood	tech	80-hour	1.0
Likelihood	tech	dvd	0.711864406779661
Likelihood	tech	recorder.	0.8
Likelihood	business	biggest	0.49794238683127573
Likelihood	tech	directtv	1.0
Likelihood	tech	even	0.33410672853828305
Likelihood	business	its	0.4857556735876388
Likelihood	politics	branded	0.7083333333333334
Likelihood	tech	100-hours	1.0
Likelihood	entertainment	recording	0.5483870967741935
Likelihood	tech	instant	0.8333333333333334
Likelihood	sport	replay	0.875
Likelihood	tech	function.	1.0
Likelihood	sport	set	0.29545454545454547
Likelihood	tech	rewind	1.0
Likelihood	tech	up	0.2627653471026965
Likelihood	business	90	0.7142857142857143
Likelihood	tech	hours.	0.5384615384615384
Likelihood	tech	microsoft	0.9762845849802372
Likelihood	business	chief	0.5208845208845209
Likelihood	politics	bill	0.5778688524590164
Likelihood	tech	gates	0.7
Likelihood	business	announced	0.31
Likelihood	sport	his	0.37988826815642457
Likelihood	tech	pre-show	0.75
Likelihood	tech	keynote	0.8333333333333334
Likelihood	politics	speech	0.5576923076923077
Likelihood	business	partnership	0.3
Likelihood	politics	called	0.32867132867132864
Likelihood	tech	tivotogo	1.0
Likelihood	entertainment	recorded	0.5111111111111111
Likelihood	tech	windows	0.9906542056074766
Likelihood	tech	pcs	0.9259259259259259
Likelihood	tech	mobile	0.8902147971360382
Likelihood	sport	all	0.25427509293680295
Likelihood	politics	reflect	0.375
Likelihood	tech	increasing	0.417910447761194
Likelihood	tech	freeing	0.6
Likelihood	tech	multimedia	1.0
Likelihood	business	worldcom	1.0
Likelihood	sport	boss	0.6940298507462687
Likelihood	sport	left	0.4127659574468085
Likelihood	entertainment	books	0.391304347826087
Likelihood	entertainment	alone	0.2727272727272727
Likelihood	sport	former	0.28536585365853656
Likelihood	business	bernie	0.9090909090909091
Likelihood	business	ebbers	1.0
Likelihood	politics	accused	0.4888888888888889
Likelihood	business	overseeing	0.4444444444444444
Likelihood	business	$11bn	1.0
Likelihood	business	(£5.8bn)	1.0
Likelihood	business	fraud	0.69
Likelihood	sport	never	0.32142857142857145
Likelihood	sport	made	0.24335106382978725
Likelihood	business	accounting	0.9318181818181818
Likelihood	politics	decisions	0.5223880597014925
Likelihood	business	witness	0.5384615384615384
Likelihood	business	jurors.	0.5
Likelihood	politics	david	0.3815789473684211
Likelihood	business	myers	0.625
Likelihood	politics	comments	0.5094339622641509
Likelihood	politics	under	0.37184873949579833
Likelihood	business	questioning	0.4375
Likelihood	sport	defence	0.3711340206185567
Likelihood	business	lawyers	0.5306122448979592
Likelihood	business	arguing	0.6
Likelihood	politics	was	0.2575950518464617
Likelihood	politics	responsible	0.3442622950819672
Likelihood	tech	problems.	0.34285714285714286
Likelihood	tech	phone	0.8461538461538461
Likelihood	business	company	0.615
Likelihood	business	collapsed	0.6
Likelihood	business	2002	0.3684210526315789
Likelihood	business	prosecutors	0.6410256410256411
Likelihood	politics	claim	0.3825503355704698
Likelihood	business	losses	0.7948717948717948
Likelihood	politics	were	0.28043143297380585
Likelihood	business	hidden	0.3181818181818182
Likelihood	tech	protect	0.5324675324675324
Likelihood	business	shares.	0.9473684210526315
Likelihood	business	pleaded	0.53125
Likelihood	business	guilty	0.3717948717948718
Likelihood	business	assisting	0.4
Likelihood	business	prosecutors.	1.0
Likelihood	politics	monday	0.35766423357664234
Likelihood	politics	lawyer	0.29508196721311475
Likelihood	sport	reid	0.42857142857142855
Likelihood	business	weingarten	1.0
Likelihood	politics	tried	0.3246753246753247
Likelihood	sport	distance	0.4782608695652174
Likelihood	business	client	0.4
Likelihood	business	allegations.	0.42857142857142855
Likelihood	business	during	0.2696078431372549
Likelihood	sport	cross	0.8
Likelihood	politics	examination	0.6666666666666666
Likelihood	politics	asked	0.42857142857142855
Likelihood	politics	if	0.290065264684554
Likelihood	tech	ever	0.26436781609195403
Likelihood	sport	knew	0.35
Likelihood	tech	make	0.3377245508982036
Likelihood	politics	decision	0.304029304029304
Likelihood	politics	.	0.48555452003727867
Likelihood	sport	i	0.5105012601512181
Likelihood	sport	am	0.5278969957081545
Likelihood	tech	aware	0.34
Likelihood	business	replied.	1.0
Likelihood	sport	did	0.2564102564102564
Likelihood	politics	entry	0.358974358974359
Likelihood	business	pressed.	1.0
Likelihood	sport	replied	0.42857142857142855
Likelihood	business	witness.	1.0
Likelihood	sport	admitted	0.5392156862745098
Likelihood	business	ordered	0.34375
Likelihood	business	false	0.34210526315789475
Likelihood	tech	entries	0.5833333333333334
Likelihood	tech	request	0.3333333333333333
Likelihood	business	financial	0.7887931034482759
Likelihood	business	officer	0.5573770491803278
Likelihood	sport	scott	0.47058823529411764
Likelihood	sport	sullivan.	0.5555555555555556
Likelihood	politics	trying	0.27380952380952384
Likelihood	business	paint	0.3333333333333333
Likelihood	sport	sullivan	0.4927536231884058
Likelihood	business	testify	0.5
Likelihood	politics	later	0.25925925925925924
Likelihood	politics	trial	0.3931034482758621
Likelihood	business	mastermind	1.0
Likelihood	tech	behind	0.3235294117647059
Likelihood	politics	house	0.5560344827586207
Likelihood	politics	cards.	0.47619047619047616
Likelihood	sport	team	0.7162162162162162
Likelihood	business	meanwhile	0.371900826446281
Likelihood	tech	looking	0.34934497816593885
Likelihood	entertainment	portray	0.42857142857142855
Likelihood	sport	him	0.4244306418219462
Likelihood	business	affable	1.0
Likelihood	sport	admission	0.4166666666666667
Likelihood	politics	pe	0.6666666666666666
Likelihood	tech	graduate	0.5
Likelihood	business	economist.	1.0
Likelihood	politics	whatever	0.425
Likelihood	politics	abilities	0.4
Likelihood	politics	transformed	0.3
Likelihood	business	relative	0.5714285714285714
Likelihood	business	unknown	0.4666666666666667
Likelihood	business	$160bn	1.0
Likelihood	business	giant	0.5531914893617021
Likelihood	business	investor	0.8695652173913043
Likelihood	business	darling	0.5
Likelihood	sport	late	0.2857142857142857
Likelihood	business	1990s.	0.4
Likelihood	politics	problems	0.29069767441860467
Likelihood	business	mounted	0.42857142857142855
Likelihood	business	however	0.5021834061135371
Likelihood	tech	competition	0.3146853146853147
Likelihood	business	increased	0.5833333333333334
Likelihood	business	boom	0.76
Likelihood	business	petered	0.6666666666666666
Likelihood	sport	out.	0.36363636363636365
Likelihood	sport	finally	0.35
Likelihood	business	shareholders	0.9850746268656716
Likelihood	business	$180bn	1.0
Likelihood	entertainment	20	0.2654320987654321
Likelihood	politics	workers	0.5555555555555556
Likelihood	business	jobs.	0.5806451612903226
Likelihood	business	expected	0.3862559241706161
Likelihood	sport	last	0.2733755942947702
Likelihood	sport	two	0.3035542747358309
Likelihood	tech	found	0.3786764705882353
Likelihood	business	ceo	0.5
Likelihood	sport	faces	0.41025641025641024
Likelihood	business	substantial	0.5
Likelihood	business	jail	0.5128205128205128
Likelihood	politics	sentence.	0.7142857142857143
Likelihood	tech	firmly	0.35714285714285715
Likelihood	politics	declared	0.27586206896551724
Likelihood	business	innocence.	0.6666666666666666
Likelihood	sport	tigers	0.9333333333333333
Likelihood	business	wary	0.3333333333333333
Likelihood	sport	farrell	0.5714285714285714
Likelihood	sport	gamble	0.6
Likelihood	sport	leicester	0.6949152542372882
Likelihood	politics	say	0.4717741935483871
Likelihood	politics	rushed	0.36363636363636365
Likelihood	tech	making	0.30036630036630035
Likelihood	business	bid	0.5714285714285714
Likelihood	sport	andy	0.8584905660377359
Likelihood	politics	should	0.45359477124183006
Likelihood	sport	great	0.470404984423676
Likelihood	politics	britain	0.6005509641873278
Likelihood	sport	rugby	0.9935897435897436
Likelihood	sport	league	0.8642857142857143
Likelihood	sport	captain	0.9101123595505618
Likelihood	politics	decide	0.3835616438356164
Likelihood	tech	switch	0.34285714285714286
Likelihood	politics	codes.	0.5
Likelihood	sport	else	0.4418604651162791
Likelihood	sport	involved	0.24615384615384617
Likelihood	politics	process	0.37777777777777777
Likelihood	business	still	0.2636363636363636
Likelihood	sport	away	0.34146341463414637
Likelihood	sport	going	0.2996389891696751
Likelihood	politics	next	0.2808022922636103
Likelihood	entertainment	stage	0.47706422018348627
Likelihood	politics	john	0.3333333333333333
Likelihood	business	wells	0.35714285714285715
Likelihood	tech	radio	0.38175675675675674
Likelihood	sport	leicester.	1.0
Likelihood	sport	lot	0.4452296819787986
Likelihood	sport	unknowns	1.0
Likelihood	tech	least	0.2804232804232804
Likelihood	politics	medical	0.32558139534883723
Likelihood	sport	situation.	0.6111111111111112
Likelihood	politics	whoever	0.375
Likelihood	tech	does	0.3333333333333333
Likelihood	business	gamble.	0.5
Likelihood	politics	had	0.29637526652452023
Likelihood	sport	persistent	0.35714285714285715
Likelihood	sport	knee	0.8333333333333334
Likelihood	sport	operation	0.3488372093023256
Likelihood	sport	weeks	0.38461538461538464
Likelihood	sport	ago	0.24817518248175183
Likelihood	sport	another	0.33815028901734107
Likelihood	sport	three	0.30454545454545456
Likelihood	tech	months.	0.38095238095238093
Likelihood	sport	saracens	1.0
Likelihood	politics	believed	0.4166666666666667
Likelihood	business	head	0.23270440251572327
Likelihood	tech	list	0.3592814371257485
Likelihood	politics	union	0.38461538461538464
Likelihood	sport	clubs	0.5681818181818182
Likelihood	tech	interested	0.29850746268656714
Likelihood	tech	signing	0.38636363636363635
Likelihood	sport	decides	0.5
Likelihood	business	move	0.2950310559006211
Likelihood	sport	15-man	1.0
Likelihood	sport	game.	0.7272727272727273
Likelihood	tech	across	0.3383084577114428
Likelihood	sport	believes	0.40601503759398494
Likelihood	politics	would	0.4125214408233276
Likelihood	sport	better	0.28421052631578947
Likelihood	sport	playing	0.5506072874493927
Likelihood	sport	backs	0.46875
Likelihood	business	initially.	0.5
Likelihood	sport	m	0.6299019607843137
Likelihood	tech	sure	0.30612244897959184
Likelihood	tech	step	0.2980769230769231
Likelihood	politics	between	0.3092369477911647
Likelihood	sport	centre	0.39869281045751637
Likelihood	sport	wells.	0.75
Likelihood	sport	think	0.3505747126436782
Likelihood	sport	england	0.7524752475247525
Likelihood	tech	prefer	0.47619047619047616
Likelihood	politics	progress	0.34328358208955223
Likelihood	politics	position	0.29310344827586204
Likelihood	sport	back	0.40971168437025796
Likelihood	sport	row	0.3625
Likelihood	politics	where	0.2975929978118162
Likelihood	tech	use	0.6403326403326404
Likelihood	politics	skills	0.46808510638297873
Likelihood	politics	within	0.3036649214659686
Likelihood	sport	forwards.	1.0
Likelihood	entertainment	jury	0.5
Likelihood	politics	whether	0.40977443609022557
Likelihood	tech	divide.	0.6666666666666666
Likelihood	sport	club	0.6805555555555556
Likelihood	business	balance	0.42857142857142855
Likelihood	sport	struck	0.3448275862068966
Likelihood	business	cost	0.3470319634703196
Likelihood	business	option	0.35
Likelihood	business	bringing	0.3333333333333333
Likelihood	sport	ready-made	0.5
Likelihood	politics	replacement.	0.5
Likelihood	sport	yeading	1.0
Likelihood	sport	face	0.3793103448275862
Likelihood	sport	newcastle	0.9324324324324325
Likelihood	sport	fa	0.9814814814814815
Likelihood	sport	cup	0.978448275862069
Likelihood	sport	premiership	0.8765432098765432
Likelihood	sport	side	0.8346456692913385
Likelihood	sport	united	0.46206896551724136
Likelihood	sport	trip	0.47619047619047616
Likelihood	sport	ryman	1.0
Likelihood	sport	premier	0.5625
Likelihood	business	leaders	0.3670886075949367
Likelihood	sport	third	0.334375
Likelihood	sport	round.	1.0
Likelihood	sport	game	0.5250379362670713
Likelihood	sport	arguably	0.5
Likelihood	politics	highlight	0.5416666666666666
Likelihood	sport	draw	0.5882352941176471
Likelihood	tech	potential	0.3064516129032258
Likelihood	sport	money-spinner	1.0
Likelihood	sport	non-league	1.0
Likelihood	sport	beat	0.6666666666666666
Likelihood	politics	slough	0.5
Likelihood	sport	second	0.44871794871794873
Likelihood	politics	conference	0.5299145299145299
Likelihood	sport	exeter	0.8333333333333334
Likelihood	sport	city	0.3611111111111111
Likelihood	sport	knocked	0.39285714285714285
Likelihood	sport	doncaster	0.6666666666666666
Likelihood	sport	saturday	0.6062992125984252
Likelihood	business	travel	0.4126984126984127
Likelihood	tech	old	0.3333333333333333
Likelihood	sport	trafford	0.8333333333333334
Likelihood	business	meet	0.2926829268292683
Likelihood	sport	holders	0.5454545454545454
Likelihood	sport	manchester	0.5658914728682171
Likelihood	business	january.	0.32608695652173914
Likelihood	sport	arsenal	0.9752066115702479
Likelihood	politics	drawn	0.2857142857142857
Likelihood	business	stoke	0.42857142857142855
Likelihood	sport	chelsea	0.9655172413793104
Likelihood	entertainment	host	0.3404255319148936
Likelihood	sport	scunthorpe.	1.0
Likelihood	politics	hinckley	0.6666666666666666
Likelihood	politics	held	0.36160714285714285
Likelihood	sport	brentford	1.0
Likelihood	sport	goalless	1.0
Likelihood	sport	sunday.	0.5
Likelihood	sport	luton	0.5714285714285714
Likelihood	sport	win	0.6929460580912863
Likelihood	sport	against	0.4622425629290618
Likelihood	entertainment	martin	0.4344262295081967
Likelihood	entertainment	allen	0.25
Likelihood	politics	griffin	0.75
Likelihood	sport	park.	0.9
Likelihood	entertainment	number	0.3078055964653903
Likelihood	sport	teams	0.64
Likelihood	sport	difficult	0.3673469387755102
Likelihood	tech	games	0.6997792494481236
Likelihood	sport	championship	0.9038461538461539
Likelihood	sport	sides	0.43333333333333335
Likelihood	sport	weekend	0.3894736842105263
Likelihood	sport	8/9	1.0
Likelihood	sport	third-placed	1.0
Likelihood	sport	everton	1.0
Likelihood	politics	visit	0.36538461538461536
Likelihood	sport	plymouth	0.75
Likelihood	sport	liverpool	0.9496402877697842
Likelihood	sport	burnley	0.8823529411764706
Likelihood	entertainment	palace	0.375
Likelihood	sport	go	0.3148854961832061
Likelihood	business	sunderland	0.4375
Likelihood	sport	fulham	1.0
Likelihood	sport	carling	1.0
Likelihood	sport	semi-finalists	1.0
Likelihood	sport	watford	1.0
Likelihood	sport	bolton	0.8888888888888888
Likelihood	sport	ipswich	1.0
Likelihood	business	while	0.2653061224489796
Likelihood	sport	aston	0.48
Likelihood	sport	villa	1.0
Likelihood	sport	sheffield	0.7142857142857143
Likelihood	sport	united.	0.8
Likelihood	sport	strugglers	1.0
Likelihood	sport	norwich	0.8620689655172413
Likelihood	sport	blackburn	0.8928571428571429
Likelihood	entertainment	west	0.3870967741935484
Likelihood	sport	brom	1.0
Likelihood	sport	ham	0.6666666666666666
Likelihood	sport	cardiff	0.7346938775510204
Likelihood	sport	preston	0.7142857142857143
Likelihood	politics	north	0.3118279569892473
Likelihood	entertainment	respectively.	0.47368421052631576
Likelihood	sport	southampton	0.9259259259259259
Likelihood	sport	northampton	1.0
Likelihood	sport	having	0.25339366515837103
Likelihood	sport	beaten	0.7209302325581395
Likelihood	business	earlier	0.2801724137931034
Likelihood	sport	season.	0.9125
Likelihood	sport	middlesbrough	0.9411764705882353
Likelihood	politics	either	0.28695652173913044
Likelihood	sport	swindon	0.75
Likelihood	politics	notts	0.5
Likelihood	politics	county	0.45454545454545453
